airport_code,airport_name,city,timezone,longitude,latitude
GDX,Sokol Airport,Ulan-Ude,Asia/Magadan,150.720001220703125,59.9109992980957031
HTA,Chita-Kadala Airport,Murmansk,Asia/Chita,113.305999999999997,52.0262990000000016
BTK,Bratsk Airport,Abakan,Asia/Irkutsk,101.697998046875,56.3706016540527344
IKT,Irkutsk Airport,Barnaul,Asia/Irkutsk,104.388999938959998,52.2680015563960012
UUD,Ulan-Ude Airport (Mukhino),Anapa,Asia/Irkutsk,107.438003540039062,51.80780029296875
MMK,Murmansk Airport,Neryungri,Europe/Moscow,32.7508010864257812,68.7817001342773438
ABA,Abakan Airport,Beloyarsky,Asia/Krasnoyarsk,91.3850021362304688,53.7400016784667969
BAX,Barnaul Airport,Kaluga,Asia/Krasnoyarsk,83.5384979248046875,53.363800048828125
AAQ,Anapa Vityazevo Airport,Gorno-Altaysk,Europe/Moscow,37.3473014831539984,45.002101898192997
CNN,Chulman Airport,Krasnodar,Asia/Yakutsk,124.914001464839998,56.9138984680179973
